18:46:55.457566->{"CURRENT_RSS": 21643264, "CURRENT_PRECENT": 0.2625674866517428}
18:46:55.961799->{"CURRENT_RSS": 23080960, "CURRENT_PRECENT": 0.2800090437703578}
18:46:56.468935->{"CURRENT_RSS": 23220224, "CURRENT_PRECENT": 0.28169853933170513}
18:46:56.969452->{"CURRENT_RSS": 24911872, "CURRENT_PRECENT": 0.3022209412974829}
18:46:57.469797->{"CURRENT_RSS": 25161728, "CURRENT_PRECENT": 0.3052520950987237}
18:46:57.970415->{"CURRENT_RSS": 25161728, "CURRENT_PRECENT": 0.3052520950987237}
18:46:58.470779->{"CURRENT_RSS": 25169920, "CURRENT_PRECENT": 0.30535147719056766}
18:46:58.971439->{"CURRENT_RSS": 25178112, "CURRENT_PRECENT": 0.3054508592824116}
18:46:59.472038->{"CURRENT_RSS": 25235456, "CURRENT_PRECENT": 0.3061465339253193}
18:46:59.972774->{"CURRENT_RSS": 25251840, "CURRENT_PRECENT": 0.30634529810900724}
18:47:00.476412->{"CURRENT_RSS": 25370624, "CURRENT_PRECENT": 0.30778633844074466}
18:47:00.978696->{"CURRENT_RSS": 25370624, "CURRENT_PRECENT": 0.30778633844074466}
18:47:01.480056->{"CURRENT_RSS": 25370624, "CURRENT_PRECENT": 0.30778633844074466}
18:47:01.981035->{"CURRENT_RSS": 25370624, "CURRENT_PRECENT": 0.30778633844074466}
18:47:02.482114->{"CURRENT_RSS": 25382912, "CURRENT_PRECENT": 0.3079354115785106}
18:47:02.983204->{"CURRENT_RSS": 25395200, "CURRENT_PRECENT": 0.30808448471627653}
18:47:03.484555->{"CURRENT_RSS": 25395200, "CURRENT_PRECENT": 0.30808448471627653}
18:47:03.985864->{"CURRENT_RSS": 25395200, "CURRENT_PRECENT": 0.30808448471627653}
18:47:04.487244->{"CURRENT_RSS": 27807744, "CURRENT_PRECENT": 0.3373525107643228}
18:47:04.988100->{"CURRENT_RSS": 28225536, "CURRENT_PRECENT": 0.3424209974483648}
18:47:05.488872->{"CURRENT_RSS": 28696576, "CURRENT_PRECENT": 0.34813546772939247}
18:47:05.989629->{"CURRENT_RSS": 28696576, "CURRENT_PRECENT": 0.34813546772939247}
18:47:06.490522->{"CURRENT_RSS": 28700672, "CURRENT_PRECENT": 0.3481851587753145}
18:47:06.991406->{"CURRENT_RSS": 28700672, "CURRENT_PRECENT": 0.3481851587753145}
18:47:07.491962->{"CURRENT_RSS": 28758016, "CURRENT_PRECENT": 0.34888083341822224}
18:47:07.993183->{"CURRENT_RSS": 28758016, "CURRENT_PRECENT": 0.34888083341822224}
18:47:08.494955->{"CURRENT_RSS": 28766208, "CURRENT_PRECENT": 0.3489802155100662}
18:47:08.995906->{"CURRENT_RSS": 28766208, "CURRENT_PRECENT": 0.3489802155100662}
18:47:09.497301->{"CURRENT_RSS": 29577216, "CURRENT_PRECENT": 0.3588190426026182}
18:47:09.998440->{"CURRENT_RSS": 29577216, "CURRENT_PRECENT": 0.3588190426026182}
18:47:10.501468->{"CURRENT_RSS": 29581312, "CURRENT_PRECENT": 0.3588687336485402}
18:47:11.002948->{"CURRENT_RSS": 29581312, "CURRENT_PRECENT": 0.3588687336485402}
18:47:11.503967->{"CURRENT_RSS": 29581312, "CURRENT_PRECENT": 0.3588687336485402}
18:47:12.005003->{"CURRENT_RSS": 29581312, "CURRENT_PRECENT": 0.3588687336485402}
18:47:12.506376->{"CURRENT_RSS": 29585408, "CURRENT_PRECENT": 0.35891842469446217}
18:47:13.007715->{"CURRENT_RSS": 29589504, "CURRENT_PRECENT": 0.3589681157403842}
