11:53:41.281817->{"CURRENT_PRECENT": 0.2722572406065289, "CURRENT_RSS": 22441984}
11:53:41.782266->{"CURRENT_PRECENT": 0.3139977191809922, "CURRENT_RSS": 25882624}
11:53:42.285224->{"CURRENT_PRECENT": 0.3164325804311692, "CURRENT_RSS": 26083328}
11:53:42.785777->{"CURRENT_PRECENT": 0.3197121894620199, "CURRENT_RSS": 26353664}
11:53:43.286374->{"CURRENT_PRECENT": 0.33968798992265586, "CURRENT_RSS": 28000256}
11:53:43.792761->{"CURRENT_PRECENT": 0.3433651273208824, "CURRENT_RSS": 28303360}
11:53:44.293605->{"CURRENT_PRECENT": 0.3433651273208824, "CURRENT_RSS": 28303360}
11:53:44.794075->{"CURRENT_PRECENT": 0.3436632735964143, "CURRENT_RSS": 28327936}
11:53:45.294634->{"CURRENT_PRECENT": 0.34391172882602417, "CURRENT_RSS": 28348416}
11:53:45.795611->{"CURRENT_PRECENT": 0.3447564766066979, "CURRENT_RSS": 28418048}
11:53:46.296024->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:46.797003->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:47.298092->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:47.799304->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:48.300711->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:48.801754->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:49.303185->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:49.804070->{"CURRENT_PRECENT": 0.3448558586985418, "CURRENT_RSS": 28426240}
11:53:50.305100->{"CURRENT_PRECENT": 0.3463962811221232, "CURRENT_RSS": 28553216}
11:53:50.805730->{"CURRENT_PRECENT": 0.3541977753318741, "CURRENT_RSS": 29196288}
11:53:51.306933->{"CURRENT_PRECENT": 0.36219803372531284, "CURRENT_RSS": 29855744}
11:53:51.808321->{"CURRENT_PRECENT": 0.36219803372531284, "CURRENT_RSS": 29855744}
11:53:52.309264->{"CURRENT_PRECENT": 0.36219803372531284, "CURRENT_RSS": 29855744}
11:53:52.810448->{"CURRENT_PRECENT": 0.36219803372531284, "CURRENT_RSS": 29855744}
11:53:53.311263->{"CURRENT_PRECENT": 0.3735772832414463, "CURRENT_RSS": 30793728}
11:53:53.812084->{"CURRENT_PRECENT": 0.3764096728589992, "CURRENT_RSS": 31027200}
11:53:54.313378->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:54.813825->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:55.314693->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:55.816068->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:56.316897->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:56.817767->{"CURRENT_PRECENT": 0.37894391620102014, "CURRENT_RSS": 31236096}
11:53:57.319284->{"CURRENT_PRECENT": 0.3807824849001334, "CURRENT_RSS": 31387648}
11:53:57.820100->{"CURRENT_PRECENT": 0.3807824849001334, "CURRENT_RSS": 31387648}
11:53:58.321165->{"CURRENT_PRECENT": 0.3840620939309841, "CURRENT_RSS": 31657984}
11:53:58.822708->{"CURRENT_PRECENT": 0.3840620939309841, "CURRENT_RSS": 31657984}
11:53:59.323282->{"CURRENT_PRECENT": 0.3840620939309841, "CURRENT_RSS": 31657984}
11:53:59.824005->{"CURRENT_PRECENT": 0.3840620939309841, "CURRENT_RSS": 31657984}
11:54:00.324666->{"CURRENT_PRECENT": 0.39514319717158564, "CURRENT_RSS": 32571392}
11:54:00.826350->{"CURRENT_PRECENT": 0.3974289852839968, "CURRENT_RSS": 32759808}
11:54:01.327591->{"CURRENT_PRECENT": 0.3979258957432166, "CURRENT_RSS": 32800768}
11:54:01.829432->{"CURRENT_PRECENT": 0.3979258957432166, "CURRENT_RSS": 32800768}
11:54:02.331042->{"CURRENT_PRECENT": 0.3979755867891385, "CURRENT_RSS": 32804864}
11:54:02.832491->{"CURRENT_PRECENT": 0.3979755867891385, "CURRENT_RSS": 32804864}
