Test1: Tree creation (10.1.1.100,224.12.12.12)
Expected: all routers should consider eth0 as their Root interface except for R7 that should consider eth2 as it Root interface
About to start TCP server...
tests                                              DEBUG    2020-06-16 11:52:40,791                                              R2 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,817                                              R1 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,824                                              R6 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,822                                              R3 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,820                                              R5 ifconfig eth1 up
tests                                              DEBUG    2020-06-16 11:52:40,836                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,834                                              R7 vtysh -c "configure terminal" -c "interface eth2" -c "ip ospf cost 10"
tests                                              DEBUG    2020-06-16 11:52:40,834                                              R4 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:40,940                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 11:52:41,525                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,538                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,654                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,743                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,786                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,839                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:41,853                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 11:52:42,191                                              R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,309                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,402                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,527                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,568                                              R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,716                                              R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,727                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 11:52:42,762                                              R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:42,912                                              R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,085                                              R6 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,085                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,181                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,363                                              R7 python3 Run.py -ai eth1
hpim.Interface                                     DEBUG    2020-06-16 11:52:43,405                                     0  eth0  R5 Received Hello message with HelloHoldTime: 120; CheckpointSN: 0 from neighbor 10.5.5.6
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,421                                     0  eth0  R5 Neighbor state of 10.5.5.6 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,422                                     0  eth0  R5 Neighbor state of 10.5.5.6 transitions to Slave with MyBootTime=1592308363; MySnapshotSN=0; NeighborBootTime=1592308362; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:43,422                                     0  eth0  R6 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308362; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,423                                     0  eth0  R6 Neighbor state of 10.5.5.5 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,423                                     0  eth0  R6 Neighbor state of 10.5.5.5 transitions to Master with MyBootTime=1592308362; MySnapshotSN=0; NeighborBootTime=1592308363; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:43,442                                     0  eth0  R5 Received Sync message with BootTime: 1592308362; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 11:52:43,458                                     0  eth0  R6 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308362; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:43,459                                     0  eth0  R5 Received Sync message with BootTime: 1592308362; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,465                                     0  eth0  R6 Neighbor state of 10.5.5.5 transitions to Synced with MyBootTime=1592308362; MySnapshotSN=1; NeighborBootTime=1592308363; NeighborSnapshotSN=1
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:43,466                                     0  eth0  R5 Neighbor state of 10.5.5.6 transitions to Synced with MyBootTime=1592308363; MySnapshotSN=1; NeighborBootTime=1592308362; NeighborSnapshotSN=1
tests                                              DEBUG    2020-06-16 11:52:43,473                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,517                                              R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 11:52:43,668                                              R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:43,722                                              R1 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:43,810                                              R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:43,858                                              R6 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:43,924                                              R7 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:43,977                                              R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:44,185                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 11:52:44,313                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,324                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,413                                              R4 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,463                                              R2 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,535                                              R7 python3 Run.py -ai eth2
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,577                                     0  eth0  R6 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,577                                     1  eth1  R4 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,578                                     1  eth1  R3 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
