Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
tests                                              DEBUG    2020-06-16 19:59:50,872                                                R3 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:50,955                                                R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:50,989                                                R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:51,028                                                R6 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:51,118                                                R2 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:51,132                                                R4 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:51,134                                                R1 python3 Run.py -start
tests                                              DEBUG    2020-06-16 19:59:51,634                                                R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:51,774                                                R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:51,868                                                R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:51,869                                                R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:52,049                                                R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:52,054                                                R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:52,073                                                R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 19:59:52,512                                                R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,605                                                R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,645                                                R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,650                                                R7 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,746                                                R4 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,816                                                R2 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:52,902                                                R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 19:59:53,206                                                R6 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,288                                                R3 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,295                                                R7 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,302                                                R5 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,328                                                R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,438                                                R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,589                                                R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 19:59:53,899                                                R6 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:53,922                                                R3 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:53,974                                                R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:54,007                                                R4 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:54,021                                                R7 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:54,150                                                R2 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 19:59:54,401                                                R1 python3 Run.py -ai eth1
